"","Eric L. Adams","Kathryn A. Garcia","Maya D. Wiley","Andrew Yang"
"Round 1",0.346048384373288,0.244259707323238,0.26122376056849,0.148468147734985
"Round 2",0.40449793819832,0.304701499844027,0.290800561957653,0
"Round 3",0.504416066116525,0.495583933883474,0,0
